geneId,diseaseId,score,ei,el,yearInitial,yearFinal,g_source
546,C0796003,0.72,1.00,definitive,1995,2020,ALL
546,C1845055,1.00,0.98,NULL,1995,2019,ALL
551,C0011175,0.60,1.00,NULL,1989,2019,ALL
551,C0011848,0.70,1.00,NULL,1981,2020,ALL
551,C0020538,0.60,1.00,NULL,1984,2020,ALL
551,C0687720,1.00,0.99,NULL,1978,2020,ALL
554,C0162283,0.90,1.00,strong,1992,2019,ALL
554,C1563705,0.80,0.98,strong,1989,2020,ALL
554,C1845202,0.77,1.00,strong,2005,2019,ALL
567,C0268389,0.70,1.00,NULL,2012,2012,ALL
567,C1855796,0.71,1.00,strong,2006,2015,ALL
570,C1843139,0.71,1.00,NULL,2003,2013,ALL
580,C0006142,1.00,0.90,limited,1996,2020,ALL
582,C0028754,0.62,1.00,strong,2002,2013,ALL
582,C2936862,0.94,1.00,NULL,1999,2017,ALL
583,C2936863,0.91,1.00,NULL,2001,2019,ALL
583,C4225281,0.70,1.00,NULL,2015,2015,ALL
590,C1283400,0.72,1.00,NULL,1957,2016,ALL
593,C0024776,0.80,1.00,NULL,1989,2019,ALL
594,C0024776,0.80,1.00,NULL,1973,2019,ALL
595,C0007138,0.56,0.88,NULL,1997,2017,ALL
595,C0026764,0.70,0.98,NULL,1992,2019,ALL
595,C0033578,0.57,1.00,NULL,1999,2015,ALL
595,C0376358,0.60,0.95,NULL,1998,2020,ALL
596,C0002395,0.60,1.00,NULL,1996,2019,ALL
596,C0007102,0.60,1.00,NULL,1997,2019,ALL
596,C0009375,0.56,1.00,NULL,1998,2009,ALL
596,C0011860,0.67,1.00,NULL,2006,2020,ALL
596,C0024301,0.60,0.97,NULL,1985,2020,ALL
596,C0024305,0.60,0.97,NULL,1988,2019,ALL
596,C0032460,0.55,1.00,NULL,1998,2018,ALL
604,C0024305,0.60,0.96,NULL,1993,2015,ALL
613,C0023473,0.70,0.97,NULL,1980,2020,ALL
617,C0023264,0.70,1.00,limited,1998,2017,ALL
617,C0266006,0.75,1.00,definitive,1998,2017,ALL
617,C1864002,0.77,1.00,NULL,1998,2019,ALL
617,C3541471,0.70,1.00,NULL,1998,2017,ALL
624,C0020538,0.57,1.00,NULL,1996,2016,ALL
627,C0002395,0.60,0.96,NULL,1991,2020,ALL
627,C0005586,0.60,1.00,NULL,2002,2019,ALL
627,C0011570,0.60,1.00,NULL,2003,2020,ALL
627,C0011581,0.60,1.00,NULL,2003,2020,ALL
627,C0038220,0.56,1.00,NULL,1996,2019,ALL
627,C0041696,0.60,1.00,NULL,2005,2020,ALL
627,C1275808,0.62,1.00,limited,2002,2018,ALL
629,C0242383,0.70,0.97,limited,2006,2019,ALL
629,C2752038,0.60,1.00,strong,2007,2016,ALL
629,C2931788,0.60,1.00,NULL,1972,2019,ALL
629,C3809950,0.60,1.00,moderate,1972,1972,ALL
633,C1848097,0.71,1.00,NULL,2016,2017,ALL
633,C4310811,0.70,1.00,strong,2017,2017,ALL
639,C0024141,0.55,1.00,NULL,2009,2017,ALL
640,C0024141,0.70,0.98,NULL,2008,2020,ALL
640,C0342276,0.62,1.00,limited,2009,2013,ALL
641,C0005859,1.00,0.99,definitive,1994,2020,ALL
641,C0023418,0.61,1.00,strong,2005,2017,ALL
641,C0024299,0.61,1.00,strong,2002,2017,ALL
649,C3553887,0.71,1.00,strong,2012,2019,ALL
650,C1832702,0.75,1.00,strong,2005,2018,ALL
652,C1864689,0.70,1.00,NULL,1986,2013,ALL
652,C2677434,0.71,1.00,NULL,1986,2009,ALL
657,C0345893,1.00,0.98,definitive,1993,2019,ALL
657,C1832940,0.80,1.00,definitive,2001,2009,ALL
657,C1868081,0.80,1.00,definitive,2001,2009,ALL
659,C0034091,0.72,1.00,NULL,2003,2016,ALL
659,C0152171,0.60,1.00,NULL,2000,2019,ALL
659,C0340543,0.70,1.00,NULL,1997,2019,ALL
659,C3203102,0.70,0.98,NULL,2000,2020,ALL
659,C4552070,0.70,1.00,moderate,2000,2018,ALL
667,C3539003,0.71,1.00,limited,2010,2017,ALL
667,C3809470,0.60,1.00,NULL,2010,2015,ALL
668,C0220663,1.00,1.00,NULL,1995,2020,ALL
668,C1837008,0.70,1.00,strong,2002,2009,ALL
672,C0006142,1.00,0.96,strong,1992,2020,ALL
672,C0006826,0.60,0.97,NULL,1993,2020,ALL
672,C0015625,0.60,1.00,NULL,2001,2020,ALL
672,C0030297,0.62,1.00,NULL,2005,2015,ALL
672,C0346647,0.60,1.00,NULL,1997,2020,ALL
672,C0677776,0.80,0.99,strong,1990,2020,ALL
672,C0678222,0.70,0.96,NULL,1992,2020,ALL
672,C0919267,0.70,0.97,NULL,1992,2020,ALL
672,C1140680,0.80,0.97,strong,1992,2020,ALL
672,C2676676,0.70,1.00,definitive,1976,2019,ALL
672,C4554406,0.70,1.00,definitive,2013,2019,ALL
673,C0009402,0.70,0.98,NULL,2002,2020,ALL
673,C0010276,0.60,1.00,NULL,2014,2019,ALL
673,C0017638,0.60,1.00,NULL,2005,2020,ALL
673,C0019621,0.80,1.00,NULL,2010,2019,ALL
673,C0023443,0.60,0.94,NULL,2011,2020,ALL
673,C0024121,0.55,1.00,NULL,2004,2017,ALL
673,C0025202,1.00,0.98,NULL,1986,2020,ALL
673,C0028326,0.77,1.00,moderate,2003,2019,ALL
673,C0040136,0.70,0.99,NULL,2003,2020,ALL
673,C0152013,0.70,1.00,NULL,2002,2019,ALL
673,C0175704,0.65,1.00,limited,2009,2017,ALL
673,C0238463,0.90,0.97,NULL,2003,2020,ALL
673,C0242379,0.60,1.00,NULL,2002,2020,ALL
673,C0334583,0.60,0.96,NULL,2008,2020,ALL
673,C0549473,0.60,0.99,NULL,2003,2019,ALL
673,C0684249,0.70,1.00,NULL,2002,2019,ALL
673,C1140680,0.60,0.94,NULL,2003,2019,ALL
673,C1275081,1.00,0.97,definitive,2003,2019,ALL
673,C1319315,0.60,1.00,NULL,2011,2019,ALL
673,C3150970,0.70,1.00,NULL,2006,2017,ALL
673,C3150971,0.70,1.00,NULL,2006,2013,ALL
675,C0006142,1.00,0.95,strong,1994,2020,ALL
675,C0024121,0.60,1.00,NULL,2014,2014,ALL
675,C0025149,0.63,1.00,strong,2003,2018,ALL
675,C0027708,0.72,1.00,strong,2005,2018,ALL
675,C0030297,0.65,0.86,NULL,2003,2017,ALL
675,C0033578,0.58,1.00,NULL,2000,2018,ALL
